Imię:Nazwisko:Data ur.:Miejsce ur.:Miejscowość :Ulica:Klasa
Ewelina:Bednarek:1993-06-26:Oława:Kornuty: ul. Kolorowa 7/3:2
Amelia:Burczyk:1993-10-13:Wrocław:Morgi 26::2
Jacek:Czerniak:1993-02-28:Oława:Tamka: ul. Długa 17:2
Magdalena:Damek:1993-02-15:Opole: Dąbrowa: ul. Leśna 20/1:2
Tomasz:Daniłowicz:1993-01-04:Oława:Widliszki Wielkie: ul. Szkolna 5/1:2
Przemysław:Dąbrowa:1993-02-22:Wrocław:Polesie: ul.  Łąkowa 9:2
Bartosz:Duczmal:1993-08-15:Oława:Morgi 11::2
Renata:Durczak:1993-06-11:Wrocław:Nowiny: ul. Morelowa 4/3:2
Bartosz:Frej:1993-07-21:Kraków:Morgi 21::2
Paulina:Grzelak:1993-05-07:Oława:Morgi 33::2
Radosław:Kaczmarczyk:1993-02-24:Wrocław:Tamka: ul. Długa 4/3:2
Ewa:Kaźmierczak:1993-07-09:Wrocław:Morgi  4::2
Paweł:Kędziorek:1993-07-03:Wrocław:Nowiny: ul. Poziomkowa 7/2:2
Karina:Kobzus:1993-09-05:Wrocław:Nowiny: ul. Morelowa 17:2
Iga:Kulik:1993-12-05:Kraków:Widliszki Wielkie: ul. Szkolna 5/2:2
Andrzej:Mróz:1993-02-22:Wrocław:Polesie: ul. Akacjowa 9/3:2
Maria:Pawlak:1993-02-24:Wrocław:Morgi 19::2
Łukasz:Rak:1993-02-16:Wrocław:Brzeg: ul. Jesionowa 23/10:2
Sławomir:Stachura:1993-11-07:Wrocław:Polesie: ul. Polna 8/3:2
Barbara:Śliwiec:1993-07-10:Brzeg:Dąbrowa: ul. Polna 4/3:2
Robert:Walerowicz:1993-08-07:Kraków:Kornuty: ul. Pastelowa 5/1:3
Sandra:Bardach:1992-10-10:Kraków:Dąbrowa: ul. Łąkowa 4/1:3
Tomasz:Biały:1992-02-22:Wrocław:Widliszki Wielkie: ul. Bankowa 21/7:3
Maciej:Ciszewski:1992-09-24:Warszawa: Widliszki Wielkie: ul. Pocztowa 15/2:3
Paweł:Czerwiec:1992-08-04:Opole:Polesie: ul. Lipowa 16:3
Radosław:Filipiak:1992-11-06:Wrocław:Nowiny: ul. Morelowa 19/3:3
Gabriela:Florczyk:1992-09-19:Wrocław:Nowiny: ul. Morelowa 4/1:3
Natalia:Fredowicz:1992-12-05:Warszawa:Polesie: ul. Topolowa 20/3:3
Jakub:Gecaj:1992-05-01:Wrocław:Morgi 20::3
Paulina:Gościniewicz:1992-02-22:Warszawa:Kornuty: ul. Pastelowa 9/2:3
Mateusz:Gregorek:1992-06-19:Wrocław:Polesie: ul. Topolowa 7/1:3
Anna:Grudzień:1992-05-13:Opole:Polesie: ul. Topolowa 32:3
Ewa:Janik:1992-02-24:Wrocław:Kornuty: ul. Pastelowa 3/2:3
Monika:Karaś:1992-11-06:Wrocław:Kornuty: ul. Tęczowa 17/1:3
Marek:Kolada:1992-06-12:Brzeg:Polesie: ul. Akacjowa 4/1:3
Marek:Koper:1992-05-12:Wrocław:Polesie: ul. Topolowa 17:3
Monika:Kubiak:1992-06-04:Wrocław:Widliszki Wielkie: ul. Pocztowa 3/2:3
Marzena:Lis:1992-08-01:Wrocław:Nowiny: ul. Poziomkowa 19/2:3
Paweł:Mikołajczyk:1992-12-18:Strzelin:Dąbrowa: ul. Ogrodowa 4/1:3
Wanda:Napierała:1992-02-22:Wrocław:Morgi 15::3
Marcin:Nowak:1992-01-06:Oława:Polesie: ul. Ogrodowa 24:3
Joanna:Oderka:1992-02-22:Strzelin:Tamka: ul. Prosta 10:3
Piotr:Oleszek:1992-02-22:Strzelin:Nowiny: ul. Morelowa 18/3:3
Mateusz:Ostanek:1992-02-22:Wrocław:Nowiny: ul. Morelowa 6:3
Marcin:Perykietka:1992-07-10:Oława:Nowiny: ul. Agrestowa 7/3:3
Natalia:Pokrzywa:1992-09-13:Wrocław:Dąbrowa: ul. Parkowa 4/1:3
Matylda:Pukiel:1992-09-19:Wrocław:Nowiny: ul. Morelowa 3/1:3
Róża:Rak:1992-02-22:Wrocław:Dąbrowa: ul. Łąkowa 4/3:3
Sylwester:Rapacz:1992-02-22:Wrocław:Tamka: ul. Długa 34:3
Maria:Reksa:1992-06-10:Warszawa:Dąbrowa: ul. Ogrodowa 3/1:3
Renata:Rombek:1992-02-22:Warszawa:Nowiny: ul. Poziomkowa 5/3:3
Olga:Sadek:1992-02-22:Strzelin:Nowiny: ul. Morelowa 8:3
Mariusz:Serafin:1992-11-03:Wrocław:Polesie: ul. Lipowa 20:3
Amelia:Skoczylas:1992-02-22:Wrocław:Morgi 7::3
Ewa:Urban:1992-02-15:Strzelin:Dąbrowa: ul. Polna 3/1:3
Marta:Urban:1992-02-16:Wrocław:Morgi 32::3
Maciej:Wnuk:1992-02-22:Wrocław:Polesie: ul. Topolowa 13:3
Maria:Zaręba:1992-06-04:Oława:Tamka: ul. Prosta 14:3
Jowita:Zawada:1992-02-14:Warszawa:Nowiny: ul. Poziomkowa 5/1:3
Piotr:Zielak:1992-08-27:Wrocław: Nowiny: ul. Poziomkowa 3/1:3
Małgorzata:Banaś:1991-01-19:Kraków:Kornuty: ul. Kolorowa 4/2:4
Błażej:Beczka:1991-02-22:Oława:Morgi 31::4
Marta:Bobrowicz:1991-02-24:Strzelin:Tamka: ul. Prosta 19/2:4
Błażej:Garguła:1991-08-01:Wrocław:Dąbrowa: ul. Ogrodowa 5/3:4
Natalia:Gawron:1991-09-01:Wrocław:Polesie: ul. Akacjowa 14/1:4
Piotr:Gawron:1991-06-20:Strzelin:Tamka: ul. Wielka 34:4
Robert:Jaworowicz:1991-11-02:Oława: Morgi 16::4
Ewa:Jordanek:1991-09-14:Wrocław:Widliszki Wielkie: ul. Bankowa 12/1:4
Robert:Kamel:1991-07-13:Wrocław: Kornuty: ul.  Tęczowa 8/2:4
Jarosław:Karlik:1991-08-24:Strzelin:Dąbrowa: ul. Łąkowa 5/3:4
Wanda:Michalik:1991-12-26:Wrocław:Dąbrowa: ul. Parkowa 7/3:4
Roman:Pilch:1991-05-02:Wrocław:Morgi 5::4
Jolanta:Rozatka:1991-02-22:Warszawa:Tamka: ul. Prosta 31/1:4
Rafał:Rudźko:1991-06-02:Wrocław:Widliszki Wielkie: ul. Pocztowa 7/7:4
Olga:Sójka:1991-09-06:Oława:Kornuty: ul. Tęczowa 12/2:4
Agnieszka:Stańczyk:1991-02-22:Strzelin:Tamka: ul. Prosta 34/3:4
Iwona:Szyszka:1991-02-20:Wrocław:Tamka: ul. Wielka 26:4
Dominika:Tara:1991-10-10:Wrocław: Tamka: ul. Długa 5/3:4
Renata:Walerek:1991-02-22:Wrocław:Morgi 27::4
Joanna:Wiosna:1991-06-01:Wrocław:Morgi 14::4
Aleksander:Woźniak:1991-09-06:Wrocław:Polesie: ul. Topolowa 19:4
Krzysztof:Wrona:1991-08-20:Strzelin:Widliszki Wielkie: ul. Szkolna 5/2:4
Helena:Adamec:1990-02-10:Oława: Dąbrowa: ul.   Leśna 5:5
Marek:Baran:1990-03-24:Kraków:Morgi 10::5
Piotr:Bartczak:1990-06-11:Strzelin: Nowiny: ul. Agrestowa 4/1:5
Marika:Błaszczyk:1990-02-22:Oława:Kornuty: ul. Kolorowa 7/1:5
Adrianna:Bocian:1990-02-22:Wrocław:Morgi 9::5
Maciej:Bogacki:1990-10-03:Wrocław:Widliszki Wielkie: ul. Szpitalna 13/2:5
Sylwester:Cichy:1990-04-22:Wrocław:Dąbrowa: ul. Parkowa 3/1:5
Adrianna:Cis:1990-02-22:Brzeg:Tamka: ul. Wielka 5:5
Tomasz:Cygan:1990-02-24:Wrocław:Kornuty: ul. Pastelowa 4/3:5
Ewelina:Dobosz:1990-02-16:Wrocław:Morgi 24::5
Helena:Katarzyniak:1990-02-22:Wrocław:Widliszki Wielkie: ul. Bankowa 3/6:5
Sandra:Kornik:1990-02-22:Warszawa:Tamka: ul. Prosta 20/2:5
Helena:Kosatka:1990-07-05:Kraków:Widliszki Wielkie: ul. Adama Mickiewicza 8/7:5
Andrzej:Kot:1990-06-16:Kraków:Dąbrowa: ul. Polna 3/2:5
Renata:Kulig:1990-02-16:Wrocław:Widliszki Wielkie: ul. Bankowa 4/5:5
Marcelina:Lenartowicz:1990-10-06:Warszawa:Widliszki Wielkie: ul. Adama Mickiewicza 8/5:5
Kamila:Napierała:1990-02-17:Opole:Dąbrowa: ul. Łąkowa 8/4:5
Marcelina:Olech:1990-02-22:Strzelin:Polesie: ul. Lipowa 17:5
Przemysław:Owczarek:1990-07-01:Opole:Widliszki Wielkie: ul. Adama Mickiewicza 6/9:5
Iwona:Piłat:1990-10-28:Wrocław:Dąbrowa: ul. Polna 2/1:5
Piotr:Suszko:1990-09-09:Warszawa:Nowiny: ul. Poziomkowa 9/1:5
Paweł:Trzcina:1990-01-15:Warszawa:Morgi  27::5
Edyta:Żak:1994-02-22:Brzeg:Morgi 17::
Karina:Żochowicz:1994-01-07:Wrocław:Polesie: ul. Topolowa 8/1:
Sylwia:Żygadło:1993-02-22:Warszawa:::
