Imię i nazwisko:Płeć:Funkcja:Miejsce pracy:Adres - miejsce pracy
Adamec Helena:K:nauczyciel:SP Nowiny:Nowiny, ul. Parkowa 7
Dobosz Marcin:M:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Dubiel Zenon:M:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Falkowska Lucyna:K:nauczyciel:SP Nowiny:Nowiny, ul. Parkowa 7
Falkowski Damian:M:dyrektor:SP Kornuty:Kornuty, ul. Główna 1
Falusiak Jacek:M:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Fejmek Kamila:K:nauczyciel:Przedszkole Widliszki:Widliszki, ul. Szkolna 10
Figran Katarzyna:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Filipek Mariusz:M:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Florczyk Gabriela:K:pracownik adm.:GOPS:Widliszki, ul. Wietrzna 3
Gacławski Arnold:M:pracownik obsł.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Gaderek Sławomir:M:dyrektor:SP Nowiny:Nowiny, ul. Parkowa 7
Gagulo Wiktor:M:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Garcarek Helena:K:nauczyciel:SP Nowiny:Nowiny, ul. Parkowa 7
Garlik Edyta:K:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Gawron Adam:M:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Gawron Miłosz:M:lekarz:ZOZ:Widliszki, ul. Kręta 3
Gawron Piotr:M:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Gągała Kamila:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Gierszyn Leszek:M:dyrektor:SP Widliszki:Widliszki, ul. Szkolna 14
Gordowski Krzysztof:M:pracownik obsł.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Grabek Tomasz:M:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Gruszczyńska Grażyna:K:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Gwóźdź Katarzyna:K:lekarz:ZOZ:Widliszki, ul. Kręta 3
Hadziuk Paweł:M:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Halusiak Maria:K:nauczyciel:SP Nowiny:Nowiny, ul. Parkowa 7
Hawro Monika:K:lekarz:ZOZ:Widliszki, ul. Kręta 3
Iwaniuk Natalia:K:pracownik obsł.:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Jach Beata:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Jackowska Dorota:K:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Janiczek Halina:K:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Janiczek Piotr:M:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Janik Agnieszka:K:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Janka Katarzyna:K:nauczyciel:Przedszkole Widliszki:Widliszki, ul. Szkolna 10
Jankowska Sylwia:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Januszewski Paweł:M:pracownik obsł.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Jasień Kamila:K:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Jedynak Szczepan:M:pracownik adm.:GOPS:Widliszki, ul. Wietrzna 3
Jesionka Beata:K:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Kabulak Jolanta:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Kalisiak Ewa:K:pracownik adm.:SP Widliszki:Widliszki, ul. Szkolna 14
Karamara Oliwia:K:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Karaś Tomasz:M:pracownik adm.:GCK:Widliszki, ul. Andersa 5
Karaś Zuzanna:K:lekarz:ZOZ:Widliszki, ul. Kręta 3
Kazanek Mariola:K:nauczyciel:SP Nowiny:Nowiny, ul. Parkowa 7
Kociołek Zuzanna:K:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Kołakowska Wanda:K:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Konrad Kazimierz:M:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Koperkowska Danuta:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Koperkowski Karol:M:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Koreszot Tomasz:M:dyrektor:GZGK:Widliszki, ul. Kolejowa 17
Kowalczyk Adam:M:pracownik adm.:SP Widliszki:Widliszki, ul. Szkolna 14
Kowalewski Kazimierz:M:pracownik adm.:GCK:Widliszki, ul. Andersa 5
Kowalik Jolanta:K:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Kowalik Paweł:M:pracownik obsł.:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Kowalska Emilia:K:pracownik adm.:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Kowalski Andrzej:M:pracownik adm.:GOPS:Widliszki, ul. Wietrzna 3
Kozak Olaf:M:pracownik obsł.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Kozidrak Klaudia:K:pracownik obsł.:SP Widliszki:Widliszki, ul. Szkolna 14
Kozioł Wacław:M:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Król Rafał:M:lekarz:ZOZ:Widliszki, ul. Kręta 3
Kruk Wacław:M:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Kurnik Jerzy:M:pracownik obsł.:SP Nowiny:Nowiny, ul. Parkowa 7
Lasota Dominika:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Lasota Wojciech:M:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Laszek Sabina:K:nauczyciel:SP Kornuty:Kornuty, ul. Główna 1
Leluszko Małgorzata:K:nauczyciel:Przedszkole Widliszki:Widliszki, ul. Szkolna 10
Lesień Tomasz:M:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Leszczyńska Zofia:K:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Leszyński Paweł:M:pracownik obsł.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Leśniewska Paulina:K:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Lichocka Beata:K:nauczyciel:SP Nowiny:Nowiny, ul. Parkowa 7
Lipka Agnieszka:K:pracownik adm.:GCK:Widliszki, ul. Andersa 5
Łączkowska Anna:K:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Maciejewska Lucyna:K:nauczyciel:Przedszkole Widliszki:Widliszki, ul. Szkolna 10
Macielewicz Zofia:K:nauczyciel:SP Kornuty:Kornuty, ul. Główna 1
Madej Agnieszka:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Madej Marta:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Major Konrad:M:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Major Mariola:K:pracownik adm.:SP Widliszki:Widliszki, ul. Szkolna 14
Malicka Anna:K:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Maliszewski Arkadiusz:M:dyrektor:ZOZ:Widliszki, ul. Kręta 3
Marzec Andrzej:M:dyrektor:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Maszkowska Agnieszka:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Melikowska Zofia:K:pracownik adm.:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Michalska Eliza:K:pracownik adm.:Przedszkole Widliszki:Widliszki, ul. Szkolna 10
Michalska Jadwiga:K:pracownik adm.:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Miodulska Zofia:K:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Misioł Aleksander:M:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Młynarska Karolina:K:pracownik obsł.:SP Widliszki:Widliszki, ul. Szkolna 14
Mrozowska Justyna:K:nauczyciel:SP Nowiny:Nowiny, ul. Parkowa 7
Nadziński Janusz:M:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Nałęcz Norbert:M:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Namiejska Natalia:K:nauczyciel:SP Widliszki:Widliszki, ul. Szkolna 14
Napieralska Natalia:K:pracownik adm.:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Niezgoda Krystian:M:pracownik adm.:GZGK:Widliszki, ul. Kolejowa 17
Norman Andrzej:M:pracownik adm.:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Nowak Krystyna:K:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Nowak Marcin:M:pracownik obsł.:GZGK:Widliszki, ul. Kolejowa 17
Nowik Paulina:K:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Oleszek Grażyna:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Osiakowski Karol:M:lekarz:ZOZ:Widliszki, ul. Kręta 3
Osnowski Karol:M:pracownik adm.:GCK:Widliszki, ul. Andersa 5
Ostanek Mikołaj:M:pracownik obsł.:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Pastuch Jakub:M:pracownik obsł.:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Pąk Krystyna:K:nauczyciel:SP Kornuty:Kornuty, ul. Główna 1
Pęto Krzysztof:M:pracownik obsł.:GZGK:Widliszki, ul. Kolejowa 17
Piasecka Katarzyna:K:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Piechowicz Zuzanna:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Pieszko Anna:K:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Piskorz Marek:M:lekarz:ZOZ:Widliszki, ul. Kręta 3
Poniedzielska Anna:K:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Poniejska Ewa:K:nauczyciel:SP Kornuty:Kornuty, ul. Główna 1
Poszatko Laura:K:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Przybyło Katarzyna:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Przybyło Marta:K:pracownik adm.:SP Kornuty:Kornuty, ul. Główna 1
Radosny Andrzej:M:pracownik adm.:GCK:Widliszki, ul. Andersa 5
Radzik Alicja:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Rejmek Paweł:M:pracownik obsł.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Restonik Monika:K:nauczyciel:SP Kornuty:Kornuty, ul. Główna 1
Roszak Dominik:M:nauczyciel:SP Nowiny:Nowiny, ul. Parkowa 7
Rybak Jan:M:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Sadek Ewa:K:pracownik adm.:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Sadowska Dominika:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Sędzik Bartosz:M:pracownik obsł.:GZGK:Widliszki, ul. Kolejowa 17
Sieramko Małgorzata:K:nauczyciel:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Siewierski Jakub:M:lekarz:ZOZ:Widliszki, ul. Kręta 3
Stańko Cecylia:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Stańko Marlena:K:pracownik adm.:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Stawińska Barbara:K:nauczyciel:SP Kornuty:Kornuty, ul. Główna 1
Stawski Dawid:M:pracownik obsł.:GZGK:Widliszki, ul. Kolejowa 17
Steran Maria:K:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Strugała Elżbieta:K:lekarz:ZOZ:Widliszki, ul. Kręta 3
Szarek Karolina:K:pracownik adm.:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Szczery Antoni:M:pracownik obsł.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Szczygieł Piotr:M:nauczyciel:SP Nowiny:Nowiny, ul. Parkowa 7
Szostak Anna:K:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Szyszka Gabriela:K:dyrektor:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Śliwa Jacek:M:lekarz:ZOZ:Widliszki, ul. Kręta 3
Śliwa Michał:M:pracownik adm.:GZGK:Widliszki, ul. Kolejowa 17
Talarek Janusz:M:nauczyciel:SP Nowiny:Nowiny, ul. Parkowa 7
Taszaniec Piotr:M:pracownik obsł.:ZOZ:Widliszki, ul. Kręta 3
Truć Michał:M:pracownik obsł.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Tyczka Edyta:K:nauczyciel:SP Nowiny:Nowiny, ul. Parkowa 7
Urbanek Filip:M:lekarz:ZOZ:Widliszki, ul. Kręta 3
Walendzik Maciej:M:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Wartka Joanna:K:pracownik adm.:SP Nowiny:Nowiny, ul. Parkowa 7
Wernikowska Laura:K:pracownik adm.:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Wieczorkowski Marek:M:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Wierny Dawid:M:pracownik obsł.:ZOZ:Widliszki, ul. Kręta 3
Wiesner Marcin:M:pracownik adm.:ZOZ:Widliszki, ul. Kręta 3
Wiśniewska Joanna:K:pracownik obsł.:SP Kornuty:Kornuty, ul. Główna 1
Wolesiak Mateusz:M:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Woźniak Marian:M:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Wrona Jakub:M:pracownik adm.:ZOZ:Widliszki, ul. Kręta 3
Zam Małgorzata:K:pracownik adm.:SP Nowiny:Nowiny, ul. Parkowa 7
Zapatowska Barbara:K:pracownik adm.:SP Nowiny:Nowiny, ul. Parkowa 7
Zasławski Krzysztof:M:pracownik adm.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Zawada Iwona:K:pracownik obsł.:Gimnazjum Widliszki:Widliszki, ul. Szkolna 12
Zbytowski Bartłomiej:M:pracownik obsł.:Urząd Gminy:Widliszki, ul. Urzędnicza 6
Ziober Adam:M:nauczyciel:Liceum Profilowane Widliszki:Widliszki, ul. Kręta 9
Zychel Radosław:M:pracownik adm.:ZOZ:Widliszki, ul. Kręta 3
